trial,perturbation,P_at_n12,P_at_n13,P_at_n27,P_at_n37,P_at_n39,ZZ_at_n12
1,shuffle,0.6677971552282126,0.6634151116403295,0.760524768816835,0.8531360271811689,0.7421877200927542,0.3849580928158367
1,random,0.9284897650540986,0.8993606474497347,0.5803168078587146,0.5499412720979813,0.4118381003746093,0.8586801935297459
1,small,0.6594968969049151,0.6576904763502489,0.6657110074513864,0.9272499503999647,0.90578712000056,0.38774009440140933
2,shuffle,0.940704979503267,0.9515877533317889,0.9329931186637377,0.9652311011647072,0.9683479220759678,0.8814638458621111
2,random,0.8112133842029768,0.8309462801907191,0.8433581521728065,0.8532972715483518,0.9067007642058353,0.623152789069529
2,small,0.6822606397503579,0.6825795038748403,0.6425209202572896,0.8999679934253728,0.9346155095796147,0.4250279477751871
3,shuffle,0.7051603594087099,0.7130213956749245,0.7853669690411093,0.8570743799825832,0.797117782967558,0.455144301253697
3,random,0.7383356549384492,0.7136759856652558,0.9138754728813535,0.684930810308239,0.6749683500689156,0.4851315402577853
3,small,0.6676245993628559,0.6615522748337215,0.49912006231943595,0.7219857375640659,0.8688630313837264,0.39980005620181525
4,shuffle,0.8569111027388803,0.844665908862572,0.8636175309917979,0.8733164609746228,0.7512136370946928,0.715188849392029
4,random,0.7034846543185949,0.7267929103148746,0.7369728730657209,0.7395065325347178,0.8216516396168148,0.40977064775743394
4,small,0.6793627239864785,0.6751152031937782,0.5549593524252937,0.7623550087166341,0.8976590611260755,0.41884288426769134
5,shuffle,0.8167072723533269,0.8084738081439587,0.5501597620815502,0.48356410279466616,0.440212735842676,0.6434541339782666
5,random,0.8298330825339781,0.8723922790156702,0.6502328885510713,0.8748450127871006,0.5850194069904626,0.6609153452043589
5,small,0.7012393920396218,0.7190011633134759,0.7544684773237528,0.8962820787998235,0.8705164179911176,0.4530749815963696
6,shuffle,0.7154655463515133,0.6740372618680075,0.680446527955859,0.9529550080948437,0.9063653723269761,0.47822930083446613
6,random,0.7713456570543988,0.8131604612613937,0.6677596622882392,0.9057442663498038,0.8487127464149592,0.5461724582879868
6,small,0.7052679318923474,0.7136845815021441,0.7509873016704165,0.9005090073918534,0.8827365040893421,0.45930436461409635
7,shuffle,0.6528177228597768,0.6351804134883183,0.7331447139416915,0.8642602098743795,0.9588153166205563,0.37448433013887145
7,random,0.8563309647126208,0.8773277458928833,0.8131625078120526,0.8106726018082504,0.8738043260495946,0.7137701642402206
7,small,0.7152356641665192,0.7165257624354555,0.7411843170405796,0.9191954411223979,0.8863830869150268,0.4762959389550491
8,shuffle,0.725354369798619,0.6910812363388585,0.5308721511471781,0.5133319922489641,0.46153093366393344,0.48217845148447164
8,random,0.8078452257159164,0.8714475595873222,0.7259080316653446,0.9514606726208042,0.7652524660306893,0.6239866277186186
8,small,0.6764436266223907,0.681412832009384,0.5539318727758686,0.8008765295747264,0.8895591423153493,0.4155829171490514
9,shuffle,0.8578002080641282,0.8681549159955232,0.8709855313542115,0.8725804466800438,0.8773160152828295,0.7165239036268999
9,random,0.6861351594148437,0.7229987212889601,0.8683379793118521,0.7082687955207555,0.7793059207708657,0.38839295916759037
9,small,0.7345998329103397,0.7351900000603632,0.6777725227752855,0.8553363003774368,0.8827055161822845,0.5095616788001307
10,shuffle,0.8146356487737328,0.7850117435883691,0.6674606344135913,0.6229793341753321,0.5747607927832721,0.6326313718047882
10,random,0.8274173370730646,0.8797977403344192,0.7754426044206575,0.931294917577907,0.8386883141615664,0.6700209015099813
10,small,0.6392184800491792,0.6409842905016908,0.6244444418389257,0.8907681969278679,0.8570003421914105,0.3578118952500794
11,shuffle,0.6918338160810326,0.6677330377882004,0.8804880894353148,0.8479709593846941,0.758406457417666,0.41098388710330475
11,random,0.8463331237936939,0.8046958927282183,0.6453040604936887,0.42537176536260635,0.4422841290824408,0.6959419999609695
11,small,0.686005009440118,0.6831947890886877,0.5943130643859673,0.7783072395938397,0.9170563010963042,0.4279794328214767
12,shuffle,0.7460712420575346,0.6619917131275124,0.47730864866843514,0.31742939352078287,0.28022279312989756,0.5198277025095189
12,random,0.8280920249623965,0.8625965490125067,0.8003090871767855,0.8799040860930968,0.8486725905227425,0.656675793466616
12,small,0.6588929109110979,0.663628962611969,0.6961354942761262,0.9189850392287513,0.8795550900592108,0.38808351348712067
